,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
90,90.0,0.936,0.962,0.886,0.799,0.924,0.861,0.956,0.936,0.942,0.952,0.915399968624115,0.0,1.0
91,91.0,0.928,0.963,0.88,0.807,0.922,0.861,0.946,0.937,0.947,0.952,0.9142999649047852,0.0,1.0
92,92.0,0.93,0.965,0.877,0.799,0.928,0.867,0.947,0.936,0.946,0.952,0.9146999716758728,0.0,1.0
93,93.0,0.923,0.96,0.875,0.794,0.93,0.861,0.95,0.948,0.949,0.952,0.914199948310852,0.0,1.0
94,94.0,0.93,0.962,0.884,0.789,0.932,0.867,0.946,0.944,0.944,0.954,0.9151999950408936,0.0,1.0
95,95.0,0.923,0.957,0.883,0.803,0.929,0.855,0.95,0.934,0.945,0.961,0.9139999747276306,0.0,1.0
96,96.0,0.929,0.961,0.887,0.807,0.929,0.841,0.943,0.941,0.947,0.953,0.9138000011444092,0.0,1.0
97,97.0,0.921,0.957,0.878,0.8,0.931,0.857,0.949,0.941,0.946,0.962,0.914199948310852,0.0,1.0
98,98.0,0.923,0.958,0.885,0.816,0.928,0.845,0.948,0.941,0.943,0.957,0.9143999814987183,0.0,1.0
99,99.0,0.928,0.964,0.879,0.804,0.906,0.852,0.95,0.946,0.943,0.951,0.9122999906539917,0.0,1.0
